postal_code,place_name,lat,lon,state,district,source,accuracy
01053,Commerzbank AG,51.0562,13.7323,Saxony,,GeoNames,
01054,Sächsische Aufbaubank,51.0466,13.7492,Saxony,,GeoNames,
01054,Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden,51.0287,13.7369,Saxony,,GeoNames,
01055,Dresdner Druck-u.Verlagshaus GmbH &Co.KG Unternehmensbereich Zeitungen,51.0569,13.7287,Saxony,,GeoNames,
01056,Finanzamt Dresden - Nord,51.0355,13.7404,Saxony,,GeoNames,
01057,HUK-Coburg,51.0456,13.7387,Saxony,,GeoNames,
01058,AOK Sachsen - Die Gesundheitskasse,51.0466,13.7268,Saxony,,GeoNames,
01059,"Deutsche Telekom AG, GSUS",51.0826,13.7258,Saxony,,GeoNames,
01060,Mitteldeutscher Rundfunk Landesfunkhaus Sachsen,51.1037,13.7709,Saxony,,GeoNames,
01062,Technische Universität,51.0289,13.7239,Saxony,,GeoNames,
01063,Deutsche Post AG HR Service Germany,51.0334,13.7072,Saxony,,GeoNames,
01064,ENSO Energie Sachsen Ost AG,51.0387,13.7327,Saxony,,GeoNames,
01065,DREWAG - Stadtwerke Dresden GmbH,51.0387,13.7327,Saxony,,GeoNames,
01067,Dresden,51.0547,13.7269,Sachsen,,GeoNames,4
01067,Dresden Friedrichstadt,51.0587,13.7172,Sachsen,,GeoNames,4
01067,Dresden Innere Altstadt,51.0507,13.7366,Sachsen,,GeoNames,
01069,Dresden,51.043,13.7373,Sachsen,,GeoNames,4
01070,Deutsche Post AG HR Service Germany,51.0334,13.7072,Saxony,,GeoNames,
01095,Ministerpräsident des Freistaates Sachsen,51.0573,13.7493,Saxony,,GeoNames,
01095,Sächsische Staatskanzlei,51.0573,13.7493,Saxony,,GeoNames,
01095,Sächsisches Staatsministerium des Innern,51.0573,13.7493,Saxony,,GeoNames,
01097,Dresden,51.0714,13.7399,Sachsen,,GeoNames,4
01099,Dresden,51.0783,13.8051,Sachsen,,GeoNames,4
01108,Dresden,51.1557,13.7825,Sachsen,,GeoNames,4
01108,Marsdorf,51.1634,13.7666,Sachsen,,GeoNames,4
01108,Weixdorf,51.1481,13.7983,Sachsen,,GeoNames,4
01109,Dresden,51.1164,13.7468,Sachsen,,GeoNames,4
01109,Hellerau,51.1167,13.75,Sachsen,,GeoNames,4
01109,Klotzsche,51.1105,13.7686,Sachsen,,GeoNames,4
01109,Wilschdorf,51.122,13.7218,Sachsen,,GeoNames,4
01127,Dresden,51.079,13.7208,Sachsen,,GeoNames,4
01129,Dresden,51.0967,13.736,Sachsen,,GeoNames,4
01139,Dresden,51.0836,13.6981,Sachsen,,GeoNames,4
01156,Dresden,51.0494,13.6214,Sachsen,,GeoNames,4
01156,Dresden Altfranken,51.0412,13.6327,Sachsen,,GeoNames,4
01156,Dresden Gompitz,51.0504,13.62,Sachsen,,GeoNames,4
01156,"Dresden Gompitz, Gompitz",51.0462,13.6617,Sachsen,,GeoNames,
01156,"Dresden Gompitz, Ockerwitz",51.0567,13.6424,Sachsen,,GeoNames,
01156,"Dresden Gompitz, Pennrich",51.05,13.6238,Sachsen,,GeoNames,
01156,"Dresden Gompitz, Roitzsch",51.0551,13.6071,Sachsen,,GeoNames,
01156,"Dresden Gompitz, Steinbach",51.0471,13.6039,Sachsen,,GeoNames,
01156,"Dresden Gompitz, Unkersdorf",51.0572,13.5903,Sachsen,,GeoNames,
01156,"Dresden Gompitz, Zöllmen",51.0409,13.611,Sachsen,,GeoNames,
01157,Dresden,51.0707,13.6729,Sachsen,,GeoNames,4
01159,Dresden,51.0452,13.6996,Sachsen,,GeoNames,4
01169,Dresden,51.0443,13.6738,Sachsen,,GeoNames,4
01187,Dresden,51.0281,13.6943,Sachsen,,GeoNames,4
01189,Dresden,51.05,13.75,Sachsen,,GeoNames,4
01213,Agentur für Arbeit Dresden,51.0408,13.7198,Saxony,,GeoNames,
01217,Dresden,51.05,13.75,Sachsen,,GeoNames,4
01219,Dresden,51.021,13.7679,Sachsen,,GeoNames,4
01237,Dresden,51.013,13.7988,Sachsen,,GeoNames,4
01239,Dresden,51.0066,13.8089,Sachsen,,GeoNames,4
01255,R + V Versicherung Filialdirektion Dresden,51.0533,13.783,Saxony,,GeoNames,
01257,Dresden,51.0114,13.8054,Sachsen,,GeoNames,4
01259,Dresden,51.05,13.75,Sachsen,,GeoNames,4
01264,Finanzamt Dresden - Süd,51.0355,13.7404,Saxony,,GeoNames,
01277,Dresden,51.05,13.75,Sachsen,,GeoNames,4
01277,Dresden Striesen,51.0427,13.8009,Sachsen,,GeoNames,4
01277,Dresden Tolkewitz,51.035,13.8102,Sachsen,,GeoNames,4
01279,Dresden,51.05,13.75,Sachsen,,GeoNames,4
01279,Dresden Tolkewitz,51.035,13.8102,Sachsen,,GeoNames,4
01303,ZBI GmbH,51.0536,13.7608,Saxony,,GeoNames,
01304,Universitätsklinikum Carl Gustav Carus der TU Dresden,51.0517,13.777,Saxony,,GeoNames,
01305,Ostsächsische Sparkasse Dresden,51.054,13.7588,Saxony,,GeoNames,
01307,Dresden,51.05,13.75,Sachsen,,GeoNames,4
01309,Dresden,51.05,13.75,Sachsen,,GeoNames,4
01309,Dresden Blasewitz,51.0519,13.8067,Sachsen,,GeoNames,4
01324,Dresden,51.05,13.75,Sachsen,,GeoNames,4
01326,Dresden,51.0538,13.8155,Sachsen,,GeoNames,4
01328,Dresden,51.05,13.75,Sachsen,,GeoNames,4
01332,Amazon FC WRO2,51.178,13.8417,Saxony,,GeoNames,
01333,Deutsche Post AG Niederlassung BRIEF Dresden,51.1802,13.8384,Saxony,,GeoNames,
01445,Radebeul,51.1065,13.6605,Sachsen,,GeoNames,4
01454,Radeberg,51.1111,13.912,Sachsen,,GeoNames,4
01454,Wachau,51.1617,13.9065,Sachsen,,GeoNames,4
01458,Ottendorf-Okrilla,51.1833,13.8333,Sachsen,,GeoNames,4
01465,Dresden,51.05,13.75,Sachsen,,GeoNames,4
01465,Dresden Langebrück,51.1333,13.85,Sachsen,,GeoNames,4
01468,Moritzburg,51.1592,13.6802,Sachsen,,GeoNames,4
01471,Radeburg,51.2152,13.7281,Sachsen,,GeoNames,4
01477,Arnsdorf,51.0942,13.9918,Sachsen,,GeoNames,4
01558,Großenhain,51.2895,13.5335,Sachsen,,GeoNames,4
01561,Ebersbach,51.2333,13.65,Sachsen,,GeoNames,4
01561,Lampertswalde,51.3111,13.6769,Sachsen,,GeoNames,4
01561,Priestewitz,51.25,13.5167,Sachsen,,GeoNames,4
01561,Schönfeld,51.3,13.7,Sachsen,,GeoNames,4
01561,Tauscha,51.2667,13.8,Sachsen,,GeoNames,4
01561,Thiendorf,51.2938,13.7412,Sachsen,,GeoNames,4
01561,Weißig am Raschütz,51.3455,13.6558,Sachsen,,GeoNames,4
01561,Wildenhain,51.3076,13.4768,Sachsen,,GeoNames,4
01561,Zabeltitz,51.3515,13.5046,Sachsen,,GeoNames,4
01585,Agentur für Arbeit Riesa,51.3068,13.2854,Saxony,,GeoNames,
01587,Riesa,51.2991,13.2848,Sachsen,,GeoNames,4
01589,Riesa,51.3026,13.3097,Sachsen,,GeoNames,4
01591,Riesa,51.3,13.3,Sachsen,,GeoNames,4
01594,Hirschstein,51.2583,13.4,Sachsen,,GeoNames,
01594,Stauchitz,51.2435,13.2144,Sachsen,,GeoNames,4
01609,Gröditz,51.3963,13.401,Sachsen,,GeoNames,
01609,Nauwalde,51.4184,13.4097,Sachsen,,GeoNames,4
01609,Wülknitz,51.3667,13.4,Sachsen,,GeoNames,4
01612,Diesbar-Seußlitz,51.2733,13.4167,Sachsen,,GeoNames,
01612,Glaubitz,51.325,13.3782,Sachsen,,GeoNames,4
01612,Nünchritz,51.2999,13.3856,Sachsen,,GeoNames,4
01616,Strehla,51.3525,13.2266,Sachsen,,GeoNames,4
01619,Röderaue,51.3875,13.4583,Sachsen,,GeoNames,
01619,Zeithain,51.3336,13.3381,Sachsen,,GeoNames,4
01623,Ketzerbachtal,51.1116,13.3109,Sachsen,,GeoNames,
01623,Leuben-Schleinitz,51.1524,13.3333,Sachsen,,GeoNames,
01623,Lommatzsch,51.1954,13.3092,Sachsen,,GeoNames,4
01640,Coswig,51.132,13.5831,Sachsen,,GeoNames,4
01662,Meißen,51.1649,13.4859,Sachsen,,GeoNames,4
01665,Diera-Zehren,51.2,13.425,Sachsen,,GeoNames,
01665,Klipphausen,51.0684,13.5137,Sachsen,,GeoNames,4
01665,Käbschütztal,51.1484,13.3901,Sachsen,,GeoNames,4
01665,Taubenheim,51.0952,13.4659,Sachsen,,GeoNames,4
01665,Triebischtal,51.0894,13.4182,Sachsen,,GeoNames,
01683,Heynitz,51.0926,13.3833,Sachsen,,GeoNames,4
01683,Nossen,51.0712,13.3363,Sachsen,,GeoNames,4
01689,Niederau,51.144,13.5707,Sachsen,,GeoNames,
01689,Weinböhla,51.1667,13.5667,Sachsen,,GeoNames,4
01705,Freital,51.0017,13.6488,Sachsen,,GeoNames,4
01723,Wilsdruff,51.052,13.5366,Sachsen,,GeoNames,4
01728,Bannewitz,50.9929,13.7171,Sachsen,,GeoNames,4
01730,Klinik Bavaria,50.9462,13.7706,Saxony,,GeoNames,
01731,Kreischa,50.9453,13.7551,Sachsen,,GeoNames,4
01734,Rabenau,50.9648,13.6431,Sachsen,,GeoNames,4
01737,Tharandt,50.9791,13.5236,Sachsen,,GeoNames,4
01738,Dorfhain,50.9333,13.5667,Sachsen,,GeoNames,4
01744,Dippoldiswalde,50.8962,13.6691,Sachsen,,GeoNames,4
01762,Hartmannsdorf-Reichenau,50.8167,13.575,Sachsen,,GeoNames,4
01762,Schmiedeberg,50.8364,13.6762,Sachsen,,GeoNames,4
01768,Bärenstein,50.8013,13.7977,Sachsen,,GeoNames,4
01768,Glashütte,50.852,13.7798,Sachsen,,GeoNames,4
01768,Reinhardtsgrimma,50.8927,13.7553,Sachsen,,GeoNames,4
01773,Altenberg,50.7656,13.7533,Sachsen,,GeoNames,4
01774,Höckendorf,50.9252,13.5891,Sachsen,,GeoNames,4
01774,Pretzschendorf,50.8739,13.525,Sachsen,,GeoNames,4
01776,Hermsdorf/Erzgebirge,50.75,13.6333,Sachsen,,GeoNames,4
01778,Geising,50.7574,13.7928,Sachsen,,GeoNames,4
01793,Agentur für Arbeit Pirna,50.9544,13.9414,Saxony,,GeoNames,
01796,Dohma,50.9167,13.9333,Sachsen,,GeoNames,4
01796,Pirna,50.9584,13.937,Sachsen,,GeoNames,4
01796,Struppen,50.9333,14.0167,Sachsen,,GeoNames,4
01809,Dohna,50.9562,13.8584,Sachsen,,GeoNames,4
01809,Heidenau,50.9722,13.8674,Sachsen,,GeoNames,4
01809,Müglitztal,50.9119,13.8167,Sachsen,,GeoNames,
01814,Bad Schandau,50.9174,14.1549,Sachsen,,GeoNames,4
01814,Porschdorf,50.9418,14.1269,Sachsen,,GeoNames,4
01814,Rathmannsdorf,50.9299,14.1422,Sachsen,,GeoNames,4
01814,Reinhardtsdorf-Schöna,50.895,14.2,Sachsen,,GeoNames,
01816,Bad Gottleuba-Berggießhübel,50.8583,13.95,Sachsen,,GeoNames,4
01819,Bahretal,50.8875,13.9,Sachsen,,GeoNames,4
01824,Gohrisch,50.9042,14.1292,Sachsen,,GeoNames,
01824,Königstein/Sächsische Schweiz,50.9167,14.0667,Sachsen,,GeoNames,
01824,Rathen,50.9585,14.0876,Sachsen,,GeoNames,4
01824,Rosenthal-Bielatal,50.8667,14.05,Sachsen,,GeoNames,
01825,Liebstadt,50.8642,13.8569,Sachsen,,GeoNames,4
01829,Stadt Wehlen,50.9582,14.0309,Sachsen,,GeoNames,4
01833,Dürrröhrsdorf-Dittersbach,51.0333,14,Sachsen,,GeoNames,
01833,Stolpen,51.049,14.0794,Sachsen,,GeoNames,4
01844,Hohwald,51.0444,14.225,Sachsen,,GeoNames,
01844,Neustadt in Sachsen,51.0284,14.2179,Sachsen,,GeoNames,4
01847,Lohmen,50.9883,14.0027,Sachsen,,GeoNames,4
01848,Hohnstein,50.9799,14.1141,Sachsen,,GeoNames,4
01855,Kirnitzschtal,50.9433,14.2467,Sachsen,,GeoNames,
01855,Sebnitz,50.9754,14.2758,Sachsen,,GeoNames,4
01877,Bischofswerda,51.1277,14.1797,Sachsen,,GeoNames,4
01877,Demitz-Thumitz,51.1415,14.2472,Sachsen,,GeoNames,4
01877,Doberschau-Gaußig,51.1417,14.3573,Sachsen,,GeoNames,
01877,Rammenau,51.1304,14.222,Sachsen,,GeoNames,
01877,Schmölln-Putzkau,51.1167,14.2333,Sachsen,,GeoNames,
01896,Lichtenberg,51.1833,13.9667,Sachsen,,GeoNames,4
01896,Ohorn,51.172,14.0467,Sachsen,,GeoNames,4
01896,Pulsnitz,51.1832,14.0142,Sachsen,,GeoNames,4
01900,Bretnig-Hauswalde,51.15,14.0833,Sachsen,,GeoNames,
01900,Großröhrsdorf,51.1453,14.0192,Sachsen,,GeoNames,4
01904,Neukirch/Lausitz,51.0973,14.3079,Sachsen,,GeoNames,4
01904,Steinigtwolmsdorf,51.0631,14.3454,Sachsen,,GeoNames,4
01906,Burkau,51.1758,14.1733,Sachsen,,GeoNames,4
01909,Frankenthal,51.1313,14.1089,Sachsen,,GeoNames,4
01909,Großharthau,51.1069,14.0991,Sachsen,,GeoNames,4
01917,Kamenz,51.268,14.0937,Sachsen,,GeoNames,4
01920,Crostwitz,51.2383,14.2434,Sachsen,,GeoNames,4
01920,Elstra,51.2217,14.132,Sachsen,,GeoNames,4
01920,Haselbachtal,51.2727,14.1387,Sachsen,,GeoNames,
01920,Nebelschütz,51.2623,14.1585,Sachsen,,GeoNames,4
01920,Oßling,51.36,14.1657,Sachsen,,GeoNames,4
01920,Panschwitz-Kuckau,51.2333,14.2,Sachsen,,GeoNames,4
01920,Ralbitz-Rosenthal,51.2917,14.2417,Sachsen,,GeoNames,
01920,Räckelwitz,51.25,14.2333,Sachsen,,GeoNames,4
01920,Schönteichen,51.3,14.05,Sachsen,,GeoNames,
01920,Steina,51.2,14.05,Sachsen,,GeoNames,4
01936,Großnaundorf,51.2,13.9333,Sachsen,,GeoNames,4
01936,Haselbachtal,51.2357,14.0258,Sachsen,,GeoNames,4
01936,Königsbrück,51.2645,13.9054,Sachsen,,GeoNames,4
01936,Laußnitz,51.25,13.8833,Sachsen,,GeoNames,4
01936,Neukirch,51.2833,13.9833,Sachsen,,GeoNames,4
01936,Oberlichtenau,51.2187,13.9899,Sachsen,,GeoNames,4
01936,Schwepnitz,51.3281,13.9577,Sachsen,,GeoNames,4
01936,Straßgräbchen,51.3521,14.064,Sachsen,,GeoNames,4
01945,Grünewald,51.4,14,Brandenburg,,GeoNames,4
01945,Guteborn,51.4167,13.9333,Brandenburg,,GeoNames,4
01945,Hermsdorf,51.4055,13.8937,Brandenburg,,GeoNames,4
01945,Hohenbocka,51.431,14.0098,Brandenburg,,GeoNames,4
01945,Kroppen,51.3833,13.8,Brandenburg,,GeoNames,4
01945,Lindenau,51.4,13.7333,Brandenburg,,GeoNames,4
01945,Ruhland,51.4576,13.8664,Brandenburg,,GeoNames,4
01945,Schwarzbach,51.45,13.9333,Brandenburg,,GeoNames,4
01945,Tettau,51.4333,13.7333,Brandenburg,,GeoNames,4
01968,Schipkau,51.5456,13.9121,Brandenburg,,GeoNames,4
01968,Schipkau Hörlitz,51.5299,13.9508,Brandenburg,,GeoNames,
01968,Senftenberg,51.5252,14.0016,Brandenburg,,GeoNames,4
01979,Lauchhammer,51.4881,13.7662,Brandenburg,,GeoNames,4
01983,Großräschen,51.5876,14.0109,Brandenburg,,GeoNames,4
01983,Neu-Seeland,51.6214,14.1309,Brandenburg,,GeoNames,
01987,Schwarzheide,51.4767,13.8556,Brandenburg,,GeoNames,4
01990,Frauendorf,51.4148,13.7696,Brandenburg,,GeoNames,4
01990,Großkmehlen,51.379,13.725,Brandenburg,,GeoNames,4
01990,Ortrand,51.375,13.7598,Brandenburg,,GeoNames,4
01993,Schipkau,51.5456,13.9121,Brandenburg,,GeoNames,4
01993,Schipkau Schipkau,51.5101,13.8981,Brandenburg,,GeoNames,4
01994,Schipkau,51.5456,13.9121,Brandenburg,,GeoNames,4
01994,Schipkau Annahütte,51.5614,13.882,Brandenburg,,GeoNames,
01994,"Schipkau Annahütte, Annahütte",51.5632,13.8955,Brandenburg,,GeoNames,
01994,"Schipkau Annahütte, Annahütte-Siedlung",51.5623,13.8742,Brandenburg,,GeoNames,
01994,"Schipkau Annahütte, Herrnnmühle",51.5558,13.8891,Brandenburg,,GeoNames,
01994,"Schipkau Annahütte, Karl-Marx-Siedlung",51.5641,13.8692,Brandenburg,,GeoNames,
01994,Schipkau Drochow,51.5693,13.9237,Brandenburg,,GeoNames,
01994,Schipkau Meuro,51.5504,13.9244,Brandenburg,,GeoNames,
01996,Hosena,51.4547,14.0251,Brandenburg,,GeoNames,4
01998,Schipkau,51.5456,13.9121,Brandenburg,,GeoNames,4
01998,Schipkau Klettwitz,51.5422,13.8994,Brandenburg,,GeoNames,4
01998,Schipkau Meuro,51.5504,13.9244,Brandenburg,,GeoNames,4
02619,Agentur für Arbeit Bautzen,51.1551,14.4329,Saxony,,GeoNames,
02620,Landratsamt Bautzen,51.1757,14.4294,Saxony,,GeoNames,
02621,Finanzamt Bautzen,51.1823,14.4278,Saxony,,GeoNames,
02625,Bautzen,51.1825,14.4292,Sachsen,,GeoNames,4
02627,Hochkirch,51.149,14.5706,Sachsen,,GeoNames,4
02627,Kubschütz,51.1667,14.5,Sachsen,,GeoNames,4
02627,Radibor,51.2448,14.3984,Sachsen,,GeoNames,4
02627,Weißenberg,51.1964,14.6587,Sachsen,,GeoNames,4
02633,Doberschau-Gaußig,51.1417,14.3573,Sachsen,,GeoNames,
02633,Göda,51.178,14.3195,Sachsen,,GeoNames,4
02643,Deutsche Post AG Briefzentrum Bautzen,51.1904,14.4587,Saxony,,GeoNames,
02681,Crostau,51.0846,14.4559,Sachsen,,GeoNames,4
02681,Kirschau,51.0932,14.4284,Sachsen,,GeoNames,4
02681,Schirgiswalde,51.0764,14.4283,Sachsen,,GeoNames,4
02681,Wilthen,51.0975,14.3929,Sachsen,,GeoNames,4
02689,Sohland an der Spree,51.0471,14.4298,Sachsen,,GeoNames,
02692,Doberschau-Gaußig,51.1417,14.3573,Sachsen,,GeoNames,
02692,Eulowitz,51.1116,14.4566,Sachsen,,GeoNames,4
02692,Großpostwitz/Oberlausitz,51.1167,14.45,Sachsen,,GeoNames,4
02692,Obergurig,51.1329,14.4049,Sachsen,,GeoNames,4
02694,Großdubrau,51.2542,14.459,Sachsen,,GeoNames,4
02694,Guttau,51.259,14.5613,Sachsen,,GeoNames,4
02694,Malschwitz,51.2376,14.5216,Sachsen,,GeoNames,4
02699,Königswartha,51.3103,14.328,Sachsen,,GeoNames,4
02699,Neschwitz,51.2706,14.329,Sachsen,,GeoNames,4
